	req_str	sal_from	sal_to	currency	city	pub_date	employer	job_title	experience	link	average_value	search_date
0	Тестировщик (ручное тестирование)	150000	200000	RUR	Москва	2024-07-12	Rubbles	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103794585	175000.0	19-07-2024 15:43:35
1	Программист-разработчик	100000	100000	RUR	Москва	2024-07-18	HD LED TECH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103764869	100000.0	19-07-2024 15:43:35
2	QA Engineer / Инженер по качеству	60000	150000	RUR	Санкт-Петербург	2024-07-16	Nord.Codes	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/104023297	105000.0	19-07-2024 15:43:35
3	PHP Разработчик (удаленно)	100000	120000	RUR	Санкт-Петербург	2024-07-05	МирТех	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103359212	110000.0	19-07-2024 15:43:35
4	Event-менеджер / организатор мероприятий	100000	160000	RUR	Москва	2024-06-26	Конференции Олега Бунина	Event-менеджер	От 1 года до 3 лет	https://hh.ru/vacancy/102736702	130000.0	19-07-2024 15:43:35
5	Java разработчик	100000	100000	RUR	Брянск	2024-07-09	М-Сошал	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103604196	100000.0	19-07-2024 15:43:35
6	Web-программист	60000	60000	RUR	Краснодар	2024-07-18	Усенко Ярослав Геннадьевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103792548	60000.0	19-07-2024 15:43:35
7	Java-разработчик	100000	100000	RUR	Брянск	2024-07-13	DigitalBudget	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98909318	100000.0	19-07-2024 15:43:35
8	Middle backend разработчик, python (Django, GraphQL)	35000	70000	RUR	Волгоград	2024-07-16	Синергия	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103799015	52500.0	19-07-2024 15:43:35
9	Java-junior разработчик	50000	80000	RUR	Москва	2024-07-17	Эврика Би Пи О	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/97824754	65000.0	19-07-2024 15:43:35
10	Backend разработчик (SaluteRPA)	190000	230000	RUR	Санкт-Петербург	2024-07-02	Снэп АйТи	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103136862	210000.0	19-07-2024 15:43:35
11	Программист PHP	90000	90000	RUR	Нижний Новгород	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859414	90000.0	19-07-2024 15:43:35
12	Junior DevOps Engineer (DataSpace)	125000	125000	RUR	Ростов-на-Дону	2024-06-20	SberTech	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/102381032	125000.0	19-07-2024 15:43:35
13	Java developer	120000	211597	RUR	Санкт-Петербург	2024-07-16	СБЕР	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/104013076	165798.5	19-07-2024 15:43:35
14	Fullstack-разработчик	80000	120000	RUR	Москва	2024-06-19	Кодит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102296630	100000.0	19-07-2024 15:43:35
15	Разработчик Android приложений	80000	80000	RUR	Ростов-на-Дону	2024-07-02	Лилиани	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103156829	80000.0	19-07-2024 15:43:35
16	Java/Kotlin-разработчик	200000	300000	RUR	Москва	2024-07-03	Rubbles	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/99716978	250000.0	19-07-2024 15:43:35
17	Системный аналитик (IT)	180000	250000	RUR	Новосибирск	2024-07-17	Rocket Science	Системный аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/104066330	215000.0	19-07-2024 15:43:35
18	Backend PHP программист	140000	170000	RUR	Ростов-на-Дону	2024-07-09	Рабочие решения	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103605596	155000.0	19-07-2024 15:43:35
19	Web-разработчик (Инженер-программист)(01050-1)	120000	120000	RUR	Москва	2024-06-25	Моринформсистема-Агат, Концерн	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91683538	120000.0	19-07-2024 15:43:35
20	Backend-разработчик	8000000	15000000	UZS	Ташкент	2024-07-05	APP-CLOUD	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103374278	11500000.0	19-07-2024 15:43:35
21	Fullstack-разработчик	20000	40000	RUR	Самара	2024-07-19	Бирючкова Марианна Юрьевна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103647331	30000.0	19-07-2024 15:43:35
22	Java разработчик Full Stack/Backend	500000	1000000	KZT	Алматы	2024-07-10	Profit Staff Com (Профит Стафф Ком)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103659874	750000.0	19-07-2024 15:43:35
23	QA специалист - тестировщик	80000	80000	RUR	Челябинск	2024-07-18	Рэд	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/101860336	80000.0	19-07-2024 15:43:35
24	Тестировщик (ручное тестирование)	150000	200000	RUR	Москва	2024-07-12	Rubbles	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103794585	175000.0	19-07-2024 15:43:35
25	Программист-разработчик	100000	100000	RUR	Москва	2024-07-18	HD LED TECH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103764869	100000.0	19-07-2024 15:43:35
26	QA Engineer / Инженер по качеству	60000	150000	RUR	Санкт-Петербург	2024-07-16	Nord.Codes	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/104023297	105000.0	19-07-2024 15:43:35
27	PHP Разработчик (удаленно)	100000	120000	RUR	Санкт-Петербург	2024-07-05	МирТех	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103359212	110000.0	19-07-2024 15:43:35
28	Event-менеджер / организатор мероприятий	100000	160000	RUR	Москва	2024-06-26	Конференции Олега Бунина	Event-менеджер	От 1 года до 3 лет	https://hh.ru/vacancy/102736702	130000.0	19-07-2024 15:43:35
29	Java разработчик	100000	100000	RUR	Брянск	2024-07-09	М-Сошал	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103604196	100000.0	19-07-2024 15:43:35
30	Web-программист	60000	60000	RUR	Краснодар	2024-07-18	Усенко Ярослав Геннадьевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103792548	60000.0	19-07-2024 15:43:35
31	Java-разработчик	100000	100000	RUR	Брянск	2024-07-13	DigitalBudget	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98909318	100000.0	19-07-2024 15:43:35
32	Middle backend разработчик, python (Django, GraphQL)	35000	70000	RUR	Волгоград	2024-07-16	Синергия	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103799015	52500.0	19-07-2024 15:43:35
33	Java-junior разработчик	50000	80000	RUR	Москва	2024-07-17	Эврика Би Пи О	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/97824754	65000.0	19-07-2024 15:43:35
34	Backend разработчик (SaluteRPA)	190000	230000	RUR	Санкт-Петербург	2024-07-02	Снэп АйТи	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103136862	210000.0	19-07-2024 15:43:35
35	Программист PHP	90000	90000	RUR	Нижний Новгород	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859414	90000.0	19-07-2024 15:43:35
36	Junior DevOps Engineer (DataSpace)	125000	125000	RUR	Ростов-на-Дону	2024-06-20	SberTech	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/102381032	125000.0	19-07-2024 15:43:35
37	Java developer	120000	211597	RUR	Санкт-Петербург	2024-07-16	СБЕР	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/104013076	165798.5	19-07-2024 15:43:35
38	Fullstack-разработчик	80000	120000	RUR	Москва	2024-06-19	Кодит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102296630	100000.0	19-07-2024 15:43:35
39	Разработчик Android приложений	80000	80000	RUR	Ростов-на-Дону	2024-07-02	Лилиани	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103156829	80000.0	19-07-2024 15:43:35
40	Java/Kotlin-разработчик	200000	300000	RUR	Москва	2024-07-03	Rubbles	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/99716978	250000.0	19-07-2024 15:43:35
41	Системный аналитик (IT)	180000	250000	RUR	Новосибирск	2024-07-17	Rocket Science	Системный аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/104066330	215000.0	19-07-2024 15:43:35
42	Backend PHP программист	140000	170000	RUR	Ростов-на-Дону	2024-07-09	Рабочие решения	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103605596	155000.0	19-07-2024 15:43:35
43	Web-разработчик (Инженер-программист)(01050-1)	120000	120000	RUR	Москва	2024-06-25	Моринформсистема-Агат, Концерн	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91683538	120000.0	19-07-2024 15:43:35
44	Backend-разработчик	8000000	15000000	UZS	Ташкент	2024-07-05	APP-CLOUD	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103374278	11500000.0	19-07-2024 15:43:35
45	Fullstack-разработчик	20000	40000	RUR	Самара	2024-07-19	Бирючкова Марианна Юрьевна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103647331	30000.0	19-07-2024 15:43:35
46	Java разработчик Full Stack/Backend	500000	1000000	KZT	Алматы	2024-07-10	Profit Staff Com (Профит Стафф Ком)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103659874	750000.0	19-07-2024 15:43:35
47	QA специалист - тестировщик	80000	80000	RUR	Челябинск	2024-07-18	Рэд	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/101860336	80000.0	19-07-2024 15:43:35
48	Frontend Middle (Vue) (Инженер - программист)(01050-1)	130000	130000	RUR	Москва	2024-06-25	Моринформсистема-Агат, Концерн	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91683653	130000.0	19-07-2024 15:43:35
49	Разработчик (Frontend developer / Vue.js) junior+	130000	130000	RUR	Тюмень	2024-07-17	Статус	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/88609199	130000.0	19-07-2024 15:43:35
50	Разработчик Go в российский вендор	260000	320000	RUR	Москва	2024-06-27	Бегачева Екатерина Борисовна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102839441	290000.0	19-07-2024 15:43:35
51	Java back-end разработчик в ML команду ранжирования (Senior/Middle+)	220000	300000	RUR	Москва	2024-07-19	DIGINETICA	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103992268	260000.0	19-07-2024 15:43:35
52	Go-разработчик	140000	250000	RUR	Екатеринбург	2024-07-16	InfiNet Wireless	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/104014247	195000.0	19-07-2024 15:43:35
53	Backend developer	150000	150000	RUR	Краснодар	2024-06-24	Арттэк	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/100614833	150000.0	19-07-2024 15:43:35
54	Web-разработчик (Backend)	50000	50000	RUR	Тула	2024-07-08	Третий Путь	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103063831	50000.0	19-07-2024 15:43:35
55	Web QA Engineer	700000	1300000	KZT	Алматы	2024-06-29	Kolesa (АО Колеса)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/96146369	1000000.0	19-07-2024 15:43:35
56	Бизнес - системный аналитик	180000	230000	RUR	Москва	2024-07-19	Мисти Групп	Системный аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/103998393	205000.0	19-07-2024 15:43:35
57	Андроид-разработчик (Kotlin/Flutter/Java)	40000	70000	RUR	Уфа	2024-06-24	Нфт-Студия 8 Бит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102607084	55000.0	19-07-2024 15:43:35
58	Backend-разработчик	50000	50000	RUR	Санкт-Петербург	2024-07-03	ДжиТи Лайт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103226936	50000.0	19-07-2024 15:43:35
59	Frontend разработчик VUE	120000	150000	RUR	Краснодар	2024-07-18	Центр интеллектуальной безопасности	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102405840	135000.0	19-07-2024 15:43:35
60	Solution architect	400000	400000	RUR	Москва	2024-07-03	Hi, Rockits!	Руководитель группы разработки	От 1 года до 3 лет	https://hh.ru/vacancy/103248004	400000.0	19-07-2024 15:43:35
61	Разработчик Google Apps Script	50000	50000	RUR	Иркутск	2024-06-28	Smart Data	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102892653	50000.0	19-07-2024 15:43:35
62	Программист PHP	90000	90000	RUR	Ростов-на-Дону	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859408	90000.0	19-07-2024 15:43:35
63	Программист PHP	90000	90000	RUR	Волгоград	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859407	90000.0	19-07-2024 15:43:35
64	Программист Java (backend)	180000	230000	RUR	Москва	2024-07-17	Кадровое агентство Аспект	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102365651	205000.0	19-07-2024 15:43:35
65	Инженер-программист	70000	70000	RUR	Санкт-Петербург	2024-07-01	Северная Верфь, судостроительный завод	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/101954842	70000.0	19-07-2024 15:43:35
66	Backend-разработчик Java/Kotlin	230000	300000	RUR	Москва	2024-07-05	МФТИ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/101363695	265000.0	19-07-2024 15:43:35
67	Presales engineer	120000	250000	RUR	Казань	2024-05-02	Шалугин Александр Дмитриевич	Руководитель проектов	От 1 года до 3 лет	https://hh.ru/vacancy/98199572	185000.0	19-07-2024 15:43:35
68	Fullstack Developer	150000	200000	RUR	Санкт-Петербург	2024-07-08	Инфоцех	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98651592	175000.0	19-07-2024 15:43:35
69	Программист PHP	90000	90000	RUR	Воронеж	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859404	90000.0	19-07-2024 15:43:35
70	Ведущий разработчик отдела ИТ-разработки	300000	300000	RUR	Москва	2024-07-01	ГУП Мосгортранс	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/100820238	300000.0	19-07-2024 15:43:35
71	ML Engineer	127000	127000	RUR	Владивосток	2024-07-17	DNS Технологии	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103261239	127000.0	19-07-2024 15:43:35
72	Fullstack-разработчик/ Backend-разработчик	90000	90000	RUR	Пермь	2024-06-24	ПК НОРД	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/99945860	90000.0	19-07-2024 15:43:35
73	Backend разработчик NODE.JS	600	1700	USD	Бишкек	2024-06-24	Moore Studio	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/101512702	1150.0	19-07-2024 15:43:35
74	Middle PHP-developer (remote)	150000	150000	RUR	Санкт-Петербург	2024-06-29	SoftGamings	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/85169680	150000.0	19-07-2024 15:43:35
75	Программист Java/Kotlin (бэкэнд) Middle/Senior	130000	180000	RUR	Москва	2024-07-16	eRaga Infosystem	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102715228	155000.0	19-07-2024 15:43:35
76	Middle / Senior Java developer	80000	220000	RUR	Самара	2024-06-21	МедиаСофт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/46230160	150000.0	19-07-2024 15:43:35
77	Middle Java Developer	180000	200000	RUR	Санкт-Петербург	2024-07-19	Braindoc	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102692635	190000.0	19-07-2024 15:43:35
78	Midlle Java developer (Operations)	160000	160000	RUR	Санкт-Петербург	2024-07-04	СБЕР	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103312415	160000.0	19-07-2024 15:43:35
79	Backend разработчик (middle-senior)	400000	500000	KZT	Астана	2024-07-03	KazGeoPro (КазГеоПро)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103211226	450000.0	19-07-2024 15:43:35
80	QA Automation Engineer	80000	180000	RUR	Ульяновск	2024-07-01	МедиаСофт	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103047319	130000.0	19-07-2024 15:43:35
81	Программист PHP	90000	90000	RUR	Казань	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859265	90000.0	19-07-2024 15:43:35
82	Ведущий разработчик / Backend-developer/ Golang	230000	250000	RUR	Москва	2024-07-18	BIRCH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103880414	240000.0	19-07-2024 15:43:35
83	QA Automation Engineer	80000	180000	RUR	Самара	2024-06-30	МедиаСофт	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/46368256	130000.0	19-07-2024 15:43:35
84	Middle backend developer (PHP + Java)	120000	120000	RUR	Санкт-Петербург	2024-06-24	Скайтек	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102557934	120000.0	19-07-2024 15:43:35
85	Middle backend developer (PHP + Java)	120000	120000	RUR	Москва	2024-06-24	Скайтек	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102557886	120000.0	19-07-2024 15:43:35
86	Java Developer (Jira)	180000	250000	RUR	Новосибирск	2024-07-13	InlyIT	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/86591362	215000.0	19-07-2024 15:43:35
87	Backend-разработчик Kotlin/Java (middle)	85000	160000	RUR	Барнаул	2024-07-19	Биллинговый центр	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/42637341	122500.0	19-07-2024 15:43:35
88	Flutter-разработчик	8000000	15000000	UZS	Ташкент	2024-07-05	APP-CLOUD	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103374468	11500000.0	19-07-2024 15:43:35
89	Frontend-разработчик Angular в команду Ankey IDM	120000	120000	RUR	Санкт-Петербург	2024-07-15	Датаджайл	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/85880096	120000.0	19-07-2024 15:43:35
90	DevOps Инженер/Системный администратор (SRE)	120000	120000	RUR	Новосибирск	2024-07-18	Brooma	Системный инженер	От 1 года до 3 лет	https://hh.ru/vacancy/102583128	120000.0	19-07-2024 15:43:35
91	Backend-разработчик PHP (Junior/Middle, Bitrix)	130000	170000	RUR	Москва	2024-07-17	Д-проджект	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/101759063	150000.0	19-07-2024 15:43:35
92	DevOps engineer (Operations)	200000	200000	RUR	Санкт-Петербург	2024-07-11	СБЕР	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/103718603	200000.0	19-07-2024 15:43:35
93	Frontend Senior + Fullstack Developer (React.js, Node.js)	100	100	UZS	Ташкент	2024-07-02	Alif IT Development	Руководитель группы разработки	От 1 года до 3 лет	https://hh.ru/vacancy/103155290	100.0	19-07-2024 15:43:35
94	Backend Java / Kotlin разработчик (Senior)	150000	250000	RUR	Новосибирск	2024-07-17	5Team (ООО ФАЙВТИМ)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/100416328	200000.0	19-07-2024 15:43:35
95	Backend (Node.js) программист для международных проектов	1000	1000	USD	Ташкент	2024-06-27	Smart Software	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102832528	1000.0	19-07-2024 15:43:35
96	PHP Backend разработчик	6000000	18000000	UZS	Ташкент	2024-06-20	ALPHAZET TECHNOLOGIES	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98585339	12000000.0	19-07-2024 15:43:35
97	Backend Senior + Fullstack Developer (NextJS, Node.js)	100	100	UZS	Ташкент	2024-07-02	Alif IT Development	Руководитель группы разработки	От 1 года до 3 лет	https://hh.ru/vacancy/103155036	100.0	19-07-2024 15:43:35
